Fecha_Hora,pm25,calidad_pm25,ozono,calidad_ozono,dviento_ssr,calidad_dviento_ssr,pliquida_ssr,calidad_pliquida_ssr,taire10_ssr,calidad_taire10_ssr,vviento_ssr,calidad_vviento_ssr,pm25_ref
2017-01-07 07:00:00,28.0,1.0,1.58264,1.0,264.204,1.0,0.0,1.0,16.0021,1.0,0.234008,1.0,24.21970268560673
2017-01-07 08:00:00,38.0,1.0,6.9775,1.0,128.493,1.0,0.0,1.0,19.224,1.0,0.134692,1.0,32.50738046021722
2017-01-07 09:00:00,46.0,1.0,15.779,1.0,139.067,1.0,0.0,1.0,20.5539,1.0,0.691245,1.0,39.17285682648725
2017-01-07 10:00:00,37.0,1.0,30.9454,1.0,128.469,1.0,0.0,1.0,22.5736,1.0,1.15987,1.0,31.293408299168135
2017-01-07 11:00:00,28.0,1.0,47.2039,1.0,128.667,1.0,0.0,1.0,24.1511,1.0,1.13102,1.0,23.55584252099581
2017-01-07 12:00:00,30.0,1.0,59.679,1.0,125.739,1.0,0.0,1.0,24.9371,1.0,0.924667,1.0,25.171853747680363
2017-01-07 13:00:00,18.0,1.0,51.3928,1.0,158.462,1.0,0.0,1.0,25.6912,1.0,1.94737,1.0,15.065000847145917
2017-01-07 14:00:00,19.0,1.0,36.5551,1.0,172.596,1.0,0.0,1.0,25.0135,1.0,1.94735,1.0,15.938089093191401
2017-01-07 15:00:00,23.0,1.0,39.444,1.0,163.211,1.0,0.0,1.0,25.6932,1.0,0.880127,1.0,19.24959447643602
2017-01-07 16:00:00,19.0,1.0,35.4771,1.0,315.226,1.0,8.0,1.0,20.7926,1.0,0.316756,1.0,16.16695377715845
2017-01-07 17:00:00,15.0,1.0,24.7646,1.0,275.485,1.0,0.0,1.0,19.2915,1.0,1.0256,1.0,12.828898916997368
2017-01-07 18:00:00,13.0,1.0,14.1875,1.0,309.345,1.0,0.0,1.0,19.7669,1.0,0.491218,1.0,11.100334088895998
2017-01-07 19:00:00,25.0,1.0,6.32542,1.0,312.767,1.0,0.0,1.0,19.505,1.0,0.141565,1.0,21.36589979461075
2017-01-07 20:00:00,21.0,1.0,3.75208,1.0,255.352,1.0,0.0,1.0,19.2671,1.0,0.0885927,1.0,17.961957148501643
2017-01-07 21:00:00,25.0,1.0,4.87722,1.0,278.056,1.0,0.0,1.0,19.2011,1.0,0.188889,1.0,21.388109722836028
2017-01-07 22:00:00,18.0,1.0,1.12069,1.0,197.562,1.0,0.5,1.0,18.7122,1.0,0.439332,1.0,15.425234686650418
2017-01-07 23:00:00,17.0,1.0,0.859167,1.0,222.796,1.0,0.0,1.0,18.0774,1.0,0.27977,1.0,14.6000322599674
2017-01-08 00:00:00,,151.0,6.01583,1.0,351.222,1.0,0.5,1.0,17.7906,1.0,0.415559,1.0,
2017-01-08 01:00:00,,1.0,4.05,1.0,177.457,1.0,3.5,1.0,17.0769,1.0,0.67067,1.0,
2017-01-08 02:00:00,,151.0,15.5543,1.0,284.067,1.0,10.5,1.0,15.2278,1.0,0.20862,1.0,
2017-01-08 03:00:00,,1.0,14.0289,1.0,235.722,1.0,6.5,1.0,14.9487,1.0,0.0278136,1.0,
2017-01-08 04:00:00,,151.0,14.1644,1.0,351.775,1.0,3.0,1.0,14.8293,1.0,0.289432,1.0,
2017-01-08 05:00:00,,1.0,8.77625,1.0,196.52,1.0,0.0,1.0,15.0,1.0,0.436498,1.0,
2017-01-08 06:00:00,,1.0,7.35875,1.0,229.041,1.0,0.0,1.0,14.9543,1.0,0.304501,1.0,
2017-01-08 07:00:00,,1.0,4.14542,1.0,250.065,1.0,0.0,1.0,14.9071,1.0,0.132135,1.0,
2017-01-08 08:00:00,,1.0,4.80444,1.0,317.537,1.0,0.0,1.0,15.2269,1.0,0.265843,1.0,
2017-01-08 09:00:00,,1.0,4.4193,1.0,40.1696,1.0,0.0,1.0,16.1014,1.0,0.126443,1.0,
2017-01-08 10:00:00,,1.0,10.1669,1.0,154.378,1.0,0.0,1.0,17.8365,1.0,0.299811,1.0,
2017-01-08 11:00:00,,1.0,24.428,1.0,77.5838,1.0,0.0,1.0,21.5854,1.0,0.32046,1.0,
2017-01-08 12:00:00,,1.0,37.5686,1.0,135.338,1.0,0.0,1.0,21.1371,1.0,1.28266,1.0,
2017-01-08 13:00:00,,1.0,51.4382,1.0,117.343,1.0,0.0,1.0,23.0093,1.0,0.830383,1.0,
2017-01-08 14:00:00,,1.0,63.8531,1.0,104.589,1.0,0.0,1.0,24.4479,1.0,0.185774,1.0,
2017-01-08 15:00:00,,1.0,64.9194,1.0,142.314,1.0,0.0,1.0,24.1306,1.0,0.824812,1.0,
2017-01-08 16:00:00,,1.0,29.0819,1.0,188.587,1.0,0.0,1.0,22.3181,1.0,1.93247,1.0,
2017-01-08 17:00:00,,1.0,22.5447,1.0,202.821,1.0,0.0,1.0,20.7329,1.0,0.972824,1.0,
2017-01-08 18:00:00,,1.0,18.5117,1.0,284.235,1.0,0.0,1.0,19.8622,1.0,0.330002,1.0,
2017-01-08 19:00:00,,1.0,19.4515,1.0,303.0,1.0,0.0,1.0,18.9794,1.0,0.382257,1.0,
2017-01-08 20:00:00,,1.0,5.79194,1.0,69.7094,1.0,0.0,1.0,18.6083,1.0,0.0278393,1.0,
2017-01-08 21:00:00,,151.0,13.1518,1.0,355.315,1.0,0.0,1.0,18.4989,1.0,0.408488,1.0,
2017-01-08 22:00:00,,1.0,3.73569,1.0,211.178,1.0,0.0,1.0,17.5393,1.0,0.472892,1.0,
2017-01-08 23:00:00,,1.0,3.1682,1.0,249.402,1.0,0.0,1.0,16.8015,1.0,0.235237,1.0,
